cnt,pr
0,0.9995001249791693
1,0.991701292638876
2,0.9915360228629667
4,0.9996667222160499
9,0.9913707806297248
11,0.9834714538216175
13,0.991701292638876
15,0.9996667222160499
18,0.9998333472214507
19,0.991701292638876
23,0.991701292638876
25,0.9998333472214507
32,0.982897929434431
34,0.991701292638876
35,0.9829798410081519
37,0.9834714538216175
38,0.991701292638876
39,0.9995001249791693
42,0.9998333472214507
43,0.9915360228629667
47,0.991701292638876
51,0.9753099120283326
53,0.9915360228629667
54,0.9672161004820059
55,0.991701292638876
58,0.9995001249791693
61,0.9670549112314029
62,0.9998333472214507
63,0.991701292638876
65,0.9996667222160499
66,0.9998333472214507
68,0.9756350695222471
69,0.9998333472214507
72,0.991701292638876
77,0.9996667222160499
80,0.9998333472214507
87,0.9996667222160499
88,0.9836353793906724
89,0.9915360228629667
91,0.9913707806297248
98,0.9918665899620434
99,0.9667326133136297
101,0.9998333472214507
108,0.9836353793906724
110,0.9834714538216175
111,0.9834714538216175
114,0.9833075555712142
126,0.9993335555061811
127,0.975472477227061
128,0.9995001249791693
131,0.99219726726852
132,0.991701292638876
134,0.9839633125029515
140,0.9995001249791693
142,0.9915360228629667
144,0.9913707806297248
145,0.9837173524211171
146,0.9993335555061811
147,0.991701292638876
149,0.9998333472214507
158,0.991701292638876
159,0.991701292638876
160,0.999750031247396
162,0.9995001249791693
164,0.9998333472214507
171,0.9834714538216175
172,0.99219726726852
178,0.9834714538216175
180,0.9918665899620434
181,0.9913707806297248
182,0.9998333472214507
190,0.9920319148370607
191,0.991701292638876
196,0.9993335555061811
197,0.9998333472214507
199,0.9762857097579093
200,0.9912055659345602
201,0.991701292638876
203,0.9998333472214507
209,0.991701292638876
214,0.9913707806297248
215,0.991701292638876
217,0.9918665899620434
228,0.9913707806297248
229,0.9753911912409219
230,0.9834714538216175
232,0.991701292638876
233,0.9913707806297248
236,0.991701292638876
242,0.9915360228629667
243,0.9915360228629667
248,0.99219726726852
253,0.9998333472214507
257,0.9998333472214507
267,0.991701292638876
268,0.9918665899620434
273,0.9913707806297248
274,0.991701292638876
277,0.9998333472214507
278,0.9834714538216175
280,0.9918665899620434
281,0.9998333472214507
282,0.9834714538216175
285,0.975472477227061
286,0.9996667222160499
287,0.9998333472214507
290,0.9920319148370607
292,0.9996667222160499
297,0.9918665899620434
298,0.9836353793906724
300,0.9996667222160499
302,0.9915360228629667
303,0.9996667222160499
304,0.9834714538216175
305,0.991701292638876
306,0.9998333472214507
307,0.9996667222160499
311,0.991701292638876
312,0.9920319148370607
313,0.991701292638876
315,0.9913707806297248
319,0.991701292638876
323,0.9920319148370607
325,0.9836353793906724
332,0.9998333472214507
334,0.99219726726852
335,0.9918665899620434
340,0.9920319148370607
342,0.9998333472214507
344,0.9913707806297248
345,0.9996667222160499
348,0.9915360228629667
349,0.9917839378567654
353,0.9998333472214507
360,0.9833075555712142
361,0.9993335555061811
362,0.9915360228629667
365,0.9920319148370607
366,0.991701292638876
369,0.9998333472214507
370,0.9672161004820059
372,0.9833075555712142
374,0.9910403787728836
377,0.991701292638876
378,0.9920319148370607
381,0.9998333472214507
383,0.991701292638876
391,0.9998333472214507
395,0.9833075555712142
396,0.9920319148370607
398,0.9829798410081519
400,0.9920319148370607
402,0.9834714538216175
404,0.9998333472214507
405,0.9915360228629667
407,0.9917839378567654
408,0.9915360228629667
409,0.9920319148370607
412,0.9995001249791693
416,0.9831436846349096
418,0.99219726726852
420,0.9998333472214507
423,0.9998333472214507
424,0.9913707806297248
427,0.991701292638876
428,0.9834714538216175
430,0.9995001249791693
432,0.991701292638876
434,0.9996667222160499
435,0.9996667222160499
437,0.991701292638876
439,0.9915360228629667
440,0.9834714538216175
443,0.9839633125029515
445,0.9998333472214507
446,0.9996667222160499
448,0.9837993322829324
450,0.9996667222160499
459,0.9836353793906724
460,0.9998333472214507
461,0.9912055659345602
465,0.991701292638876
466,0.9996667222160499
468,0.9920319148370607
469,0.991618654307801
471,0.975472477227061
474,0.9991670137924583
475,0.9915360228629667
476,0.9998333472214507
478,0.9834714538216175
483,0.9918665899620434
484,0.9998333472214507
487,0.9920319148370607
491,0.9831436846349096
492,0.9672161004820059
494,0.9913707806297248
496,0.9913707806297248
498,0.9834714538216175
499,0.9998333472214507
505,0.9998333472214507
509,0.9918665899620434
511,0.9996667222160499
512,0.991701292638876
513,0.9670549112314029
515,0.9998333472214507
517,0.991701292638876
518,0.991701292638876
523,0.99219726726852
524,0.9831436846349096
525,0.9837173524211171
527,0.99219726726852
532,0.9996667222160499
535,0.9913707806297248
539,0.9913707806297248
546,0.9918665899620434
549,0.991701292638876
550,0.9998333472214507
553,0.9998333472214507
554,0.9995001249791693
556,0.9753099120283326
557,0.9834714538216175
561,0.9920319148370607
563,0.991701292638876
565,0.991701292638876
569,0.9834714538216175
575,0.991701292638876
578,0.9995001249791693
584,0.991701292638876
585,0.9998333472214507
592,0.9915360228629667
593,0.9918665899620434
596,0.9833075555712142
597,0.9999166701387925
602,0.9920319148370607
604,0.9919492489552838
607,0.9834714538216175
610,0.9918665899620434
616,0.9996667222160499
628,0.9998333472214507
629,0.9833075555712142
632,0.9833075555712142
635,0.991701292638876
639,0.9920319148370607
640,0.9998333472214507
641,0.9912055659345602
643,0.9753099120283326
645,0.991701292638876
648,0.9839633125029515
649,0.9749848629021873
650,0.9998333472214507
654,0.98281602468639
660,0.9920319148370607
662,0.9590296055209557
664,0.991701292638876
666,0.9833075555712142
671,0.9918665899620434
672,0.991701292638876
673,0.9920319148370607
677,0.9913707806297248
679,0.9996667222160499
682,0.9996667222160499
683,0.9998333472214507
688,0.9829798410081519
690,0.9918665899620434
691,0.992114587607948
695,0.9749848629021873
698,0.975472477227061
699,0.99219726726852
700,0.9918665899620434
701,0.991701292638876
702,0.9998333472214507
709,0.9833075555712142
710,0.9998333472214507
712,0.9746599221076944
715,0.9915360228629667
717,0.9678611262003435
719,0.9915360228629667
720,0.9996667222160499
724,0.9998333472214507
725,0.9912055659345602
726,0.991701292638876
729,0.9918665899620434
731,0.991618654307801
734,0.9836353793906724
735,0.9913707806297248
738,0.9996667222160499
740,0.991701292638876
741,0.9834714538216175
744,0.9834714538216175
749,0.991701292638876
750,0.9920319148370607
754,0.9757976889184073
763,0.9751473739215464
767,0.9998333472214507
769,0.9748223789657411
774,0.991701292638876
775,0.9920319148370607
776,0.9753099120283326
777,0.9913707806297248
779,0.9998333472214507
782,0.9915360228629667
786,0.9998333472214507
788,0.999750031247396
790,0.9996667222160499
792,0.9920319148370607
798,0.9995001249791693
802,0.991701292638876
803,0.9998333472214507
804,0.9913707806297248
805,0.991618654307801
806,0.9996667222160499
807,0.991701292638876
820,0.991701292638876
821,0.9995001249791693
822,0.9918665899620434
824,0.9918665899620434
825,0.9915360228629667
827,0.9918665899620434
828,0.9913707806297248
829,0.9998333472214507
832,0.9834714538216175
833,0.9923626472610146
835,0.9913707806297248
839,0.9999166701387925
840,0.9996667222160499
842,0.9998333472214507
843,0.9918665899620434
844,0.9920319148370607
845,0.9918665899620434
847,0.9915360228629667
850,0.9998333472214507
851,0.991701292638876
852,0.9915360228629667
854,0.9833075555712142
859,0.9998333472214507
860,0.9918665899620434
862,0.9998333472214507
863,0.9912881698401698
864,0.991701292638876
865,0.9913707806297248
868,0.9998333472214507
874,0.991618654307801
876,0.9837993322829324
877,0.9834714538216175
879,0.991701292638876
882,0.991701292638876
883,0.991701292638876
884,0.9996667222160499
886,0.9915360228629667
887,0.991701292638876
892,0.9836353793906724
895,0.9749848629021873
901,0.9836353793906724
910,0.9913707806297248
915,0.9912055659345602
917,0.9833075555712142
920,0.991701292638876
928,0.9836353793906724
933,0.9836353793906724
934,0.9753911912409219
935,0.9998333472214507
937,0.991701292638876
938,0.9993335555061811
941,0.9836353793906724
946,0.991701292638876
947,0.991701292638876
951,0.9996667222160499
959,0.9920319148370607
961,0.9826522356650732
963,0.9836353793906724
967,0.9753099120283326
972,0.9915360228629667
974,0.9834714538216175
975,0.9836353793906724
976,0.9995001249791693
981,0.9998333472214507
983,0.9998333472214507
984,0.99219726726852
990,0.9920319148370607
991,0.9919492489552838
993,0.9999166701387925
995,0.991701292638876
996,0.9915360228629667
997,0.9998333472214507
998,0.9993335555061811
1000,0.9829798410081519
1005,0.9753099120283326
1006,0.9915360228629667
1013,0.9996667222160499
1015,0.9913707806297248
1016,0.9676998294544124
1018,0.9915360228629667
1020,0.991701292638876
1021,0.991701292638876
1023,0.9915360228629667
1025,0.9918665899620434
1028,0.9998333472214507
1029,0.9998333472214507
1030,0.991701292638876
1040,0.991701292638876
1041,0.9834714538216175
1047,0.9910403787728836
1050,0.9998333472214507
1051,0.9757976889184073
1054,0.9995001249791693
1056,0.9753099120283326
1064,0.9995001249791693
1065,0.9918665899620434
1068,0.991701292638876
1071,0.9834714538216175
1074,0.9918665899620434
1075,0.9996667222160499
1078,0.991701292638876
1080,0.9918665899620434
1081,0.9509124008660883
1085,0.9996667222160499
1086,0.9915360228629667
1088,0.9672161004820059
1091,0.967538559589032
1096,0.9996667222160499
1098,0.9998333472214507
1101,0.991701292638876
1105,0.9996667222160499
1108,0.9913707806297248
1110,0.9834714538216175
1115,0.9998333472214507
1116,0.991701292638876
1118,0.9837993322829324
1119,0.991701292638876
1121,0.9836353793906724
1124,0.9995001249791693
1131,0.9836353793906724
1132,0.9836353793906724
1133,0.9833075555712142
1134,0.9998333472214507
1135,0.9912055659345602
1140,0.9998333472214507
1143,0.9831436846349096
1144,0.991701292638876
1147,0.9920319148370607
1150,0.991701292638876
1155,0.9834714538216175
1158,0.9993335555061811
1160,0.9918665899620434
1164,0.991701292638876
1169,0.9907377848260441
1170,0.9907377848260441
1172,0.9817404686943394
1174,0.9909185697068327
1178,0.9905570329279588
1179,0.9726473772283121
1182,0.999817558287517
1187,0.991099387576343
1189,0.991099387576343
1190,0.9907377848260441
1195,0.9909185697068327
1196,0.9907377848260441
1198,0.9996351498600125
1200,0.991099387576343
1207,0.9996351498600125
1209,0.9817404686943394
1212,0.9909185697068327
1213,0.9996351498600125
1218,0.9920039719654459
1221,0.9733575069045237
1222,0.9992704328356495
1226,0.9996351498600125
1227,0.9909185697068327
1228,0.9912802384405947
1231,0.9815613582820168
1236,0.991642039177406
1237,0.9820987875744676
1240,0.9907377848260441
1242,0.999817558287517
1243,0.9909185697068327
1246,0.9822779960542021
1251,0.9908281731432244
1254,0.999817558287517
1257,0.9907377848260441
1263,0.9905570329279588
1266,0.9907377848260441
1272,0.9908281731432244
1273,0.999817558287517
1274,0.999817558287517
1276,0.9907377848260441
1281,0.9822779960542021
1284,0.999817558287517
1285,0.9815613582820168
1286,0.9909185697068327
1287,0.999817558287517
1288,0.991099387576343
1291,0.999817558287517
1293,0.9819196117898349
1295,0.9999087749827567
1297,0.9905570329279588
1300,0.9903763140065593
1304,0.999817558287517
1306,0.999817558287517
1308,0.9819196117898349
1309,0.9909185697068327
1312,0.991099387576343
1313,0.999817558287517
1314,0.9907377848260441
1317,0.9817404686943394
1319,0.9995439581262293
1320,0.9825468700901709
1321,0.999817558287517
1322,0.999817558287517
1326,0.9909185697068327
1328,0.991099387576343
1329,0.991099387576343
1330,0.991099387576343
1332,0.9905570329279588
1333,0.9909185697068327
1336,0.991099387576343
1340,0.9909185697068327
1347,0.9817404686943394
1350,0.999817558287517
1351,0.999817558287517
1352,0.991099387576343
1353,0.9994527747114138
1355,0.999817558287517
1361,0.9641661240175001
1363,0.999817558287517
1366,0.9909185697068327
1367,0.999817558287517
1368,0.9905570329279588
1377,0.9903763140065593
1378,0.9909185697068327
1385,0.9909185697068327
1387,0.999817558287517
1389,0.9914611223056083
1393,0.9824572372350046
1396,0.9997263499135219
1397,0.9905570329279588
1398,0.9819196117898349
1401,0.9817404686943394
1404,0.991099387576343
1408,0.9813822805469048
1414,0.9912802384405947
1416,0.9909185697068327
1419,0.9818300361563178
1422,0.9905570329279588
1426,0.991099387576343
1430,0.9724699257751684
1432,0.9907377848260441
1441,0.9914611223056083
1443,0.9994527747114138
1445,0.999817558287517
1450,0.991099387576343
1451,0.999817558287517
1453,0.9907377848260441
1456,0.999817558287517
1457,0.999817558287517
1458,0.9914611223056083
1459,0.9643420602343887
1460,0.9726473772283121
1464,0.9903763140065593
1465,0.9996351498600125
1467,0.9908281731432244
1468,0.9909185697068327
1470,0.991099387576343
1471,0.9996351498600125
1476,0.9909185697068327
1481,0.999817558287517
1484,0.9909185697068327
1486,0.991099387576343
1489,0.9909185697068327
1491,0.9909185697068327
1498,0.9992704328356495
1501,0.9730023772818716
1505,0.9817404686943394
1508,0.9728248610619102
1509,0.9819196117898349
1510,0.9909185697068327
1511,0.999817558287517
1517,0.9907377848260441
1521,0.999817558287517
1526,0.9907377848260441
1527,0.9909185697068327
1530,0.9909185697068327
1531,0.999817558287517
1532,0.9822779960542021
1535,0.9914611223056083
1540,0.9819196117898349
1543,0.991099387576343
1544,0.999817558287517
1545,0.9914611223056083
1546,0.9996351498600125
1551,0.9726473772283121
1553,0.9820987875744676
1554,0.9729136151232262
1557,0.9999087749827567
1559,0.9912802384405947
1560,0.9641661240175001
1563,0.9996351498600125
1567,0.9472519864378159
1568,0.9909185697068327
1569,0.991099387576343
1570,0.9901956280558294
1573,0.9994527747114138
1574,0.9905570329279588
1580,0.999817558287517
1583,0.9909185697068327
1584,0.9643420602343887
1585,0.9909185697068327
1589,0.9819196117898349
