num,score
0,292
1,280
2,276
3,280
4,308
5,314
6,309
7,292
8,292
9,304
10,293
11,272
12,306
13,285
14,283
15,279
16,286
17,265
18,288
19,252
20,291
21,288
22,288
23,289
24,278
25,276
26,277
27,304
28,277
29,292
30,285
31,314
32,260
33,300
34,263
35,306
36,280
37,304
38,268
39,293
40,289
41,282
42,314
43,310
44,309
45,293
46,284
47,301
48,284
49,325
50,296
51,277
52,286
53,278
54,281
55,281
56,280
57,276
58,294
59,262
60,276
61,276
62,273
63,276
64,294
65,279
66,289
67,267
68,268
69,282
70,315
71,292
72,274
73,280
74,304
75,284
76,271
77,286
78,306
79,268
80,277
81,278
82,270
83,298
84,304
85,284
86,286
87,281
88,286
89,316
90,303
91,289
92,304
93,285
94,268
95,309
96,315
97,266
98,300
99,260
